Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6485208.67,225204.55,671044.50,2428,0,2012,0,4800,0,449,0,33,0.6596349422762809,4092
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,22735428.83,362848.83,143950.00,4381,0,1503,0,10361,0,1518,0,47,0.9069339904929534,14568
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,8982427.73,108060.13,19500.00,1619,0,2681,0,4475,0,209,0,13,0.5951698605623219,2016
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,8222360.18,3248024.43,2023956.00,1957,0,736,0,4482,0,775,0,17,0.9596382973497253,6000
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,3496374.97,1515836.59,3106626.00,1073,0,301,0,2306,0,678,0,43,0.5988280036926616,9204
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,7397257.89,1464792.96,2505946.00,1606,0,608,0,3792,0,689,0,17,0.9498503642450885,5052
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,478640.51,586267.31,148748.15,345,0,114,0,828,0,170,0,22,0.9199096299178052,1392
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,749206.20,621062.19,243796.67,450,0,186,0,943,0,210,0,21,0.9688246386237421,1632
734afbd6-4794-363b-9bc0-6a3981533ed5,Antehm,PRIVATE,,,,,,1767673.63,409631.93,325182.73,380,0,115,0,841,0,162,0,19,0.9262184400048001,1260
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,7827924.72,0.00,0,1917,0,548,0,4680,0,949,30,1.00196499002781,8472
